unique Id,transcription
Rodrigo_00006_00,Historia De España_Del
Rodrigo_00006_01,Arçobispo. Do Rodri_
Rodrigo_00006_02,go. Traducida En Ro_
Rodrigo_00006_03,mançe
Rodrigo_00008_00,E ste es el libro de la Cronica de es
Rodrigo_00008_01,"paña. Y cuenta, como fue poblada primeramente y co"
Rodrigo_00008_02,mo fue destruyda. & quien por este libro leyere falla
Rodrigo_00008_03,"ra muchas Razones, en que puede Auer gran plazer"
Rodrigo_00008_04,¶ De lo que ymbio a dezir el arço
Rodrigo_00008_05,bispo Don Rodrigo Al Rey Don fernando de
Rodrigo_00008_06,Castilla.
Rodrigo_00008_07,AL M VY NO BLE y muy alto señor
Rodrigo_00008_08,bien Auenturado Don Fernando Por la gracia de di
Rodrigo_00008_09,"os Rey de Castilla, De Toledo, de Leon, de Galizia."
Rodrigo_00008_10,"de Cordoua De Murcia De Merida & de Jaen, Don"
Rodrigo_00008_11,Rodrigo Por essa mesma gracia Arçobispo de Toledo vos embio
Rodrigo_00008_12,"esta pequeña scriptura, y pido A dios por merced que vos de siē"
Rodrigo_00008_13,pre la su gracia. Señor ymbio vos la obra que me mandastes
Rodrigo_00008_14,copilar de las historias Antiguas de los Reyes Godos y de los
Rodrigo_00008_15,otros Reyes que fueron despues dellos & Ante que vos en espa
Rodrigo_00008_16,ña. La qual comiença assi –
Rodrigo_00008_17,¶ de las Cosas que escriuio
Rodrigo_00008_18,El Arçobispo Don Rodrigo –
Rodrigo_00008_19,LA LE AL Antiguedad & la Antigua leal
Rodrigo_00008_20,"tad de los Primeros, siempre fue criadora & mostra"
Rodrigo_00008_21,dora de los que vinieron despues. Ca los primeros
Rodrigo_00008_22,por las cosas que fueron hechas Antes vieron las cosas de dios
Rodrigo_00008_23,que nos no podemos ver Con estos ojos corporales & mortales.
Rodrigo_00009_00,E porque eran como todos somos de tal Naturaleza que força
Rodrigo_00009_01,"damente Auian de morir & no podian siempre durar, trabajaron"
Rodrigo_00009_02,como las cosas que dios les descubriera de las sus poridades; E las
Rodrigo_00009_03,cosas que Aprendieron por su trabajo & por su estudio & por ense
Rodrigo_00009_04,ñamiento & por su memoria & por vso Tambien de las naturas
